"","urlDrugName","condition","rating","ReviewSentiment","sideEff_num","SideEffectsSentiment","eff_num","BenefitsSentiment","full_commentSentiment"
"82","imitrex","migraine headaches",10,5.70026541741457,10,0,10,5,4.44444444444444
"83","prempro","migraines",10,10,10,0,10,4,5
"84","lexapro","depression and generalized anxiety",5,4.44444444444444,6,7.36842105263158,6,6.66666666666667,5.86206896551724
"85","latisse","sparse eyelashes",10,5.70026541741457,8,0,8,3.33333333333333,2.5
"86","wellbutrin-xl","depression",8,6.66666666666667,8,0,8,5,6
"87","biaxin","pneumonia",8,0,8,0,8,6.66666666666667,4.44444444444444
"88","zantac","acid reflux",10,6,10,3.64974679448213,10,5,5.71428571428571
"89","spironolactone","facial hair",6,10,8,0,6,0,7.5
"90","lipitor","high colorestoral",3,5,10,3.64974679448213,4,4.57034461482024,5
"91","omnicef","sore throat",3,5.70026541741457,2,0,10,0,0
"92","tazorac","antiaging",6,4.28571428571429,6,3.64974679448213,6,10,5
"93","alendronate","osteopenia",10,10,8,0,10,4.57034461482024,7.5
"94","vyvanse","fun",7,5.70026541741457,6,0,10,4.28571428571429,3.75
"95","claripel-cream","discoloration",8,10,6,3.64974679448213,8,7.5,8
"96","valtrex","cold sore/fever blister (herpes-simplex)",9,5.70026541741457,10,5,8,3.75,3.33333333333333
"97","femring","menopause",10,0,10,3.33333333333333,10,4.57034461482024,2.5
"98","neurontin","severe neck pain lasting 8-9 mons",1,0,6,0,2,3.07692307692308,2.66666666666667
"99","soma","back injury",5,2.5,6,5,10,0,3.33333333333333
"100","lipitor","high cholesterol",5,3.33333333333333,6,2.5,6,4.57034461482024,3.33333333333333
"101","tylenol","pain",3,8.33333333333333,8,5,6,5,6
"102","ultram","ovarian cysts/sciatic nerve",2,3.52941176470588,8,1.42857142857143,6,5,3.6
"103","chantix","stop smoking aid",5,5.71428571428571,6,7.77777777777778,8,5,5.71428571428571
"104","ziana","acne",9,5.70026541741457,8,0,8,10,5
"105","vivelle-dot","surgical menopause",5,0,4,3.33333333333333,8,4.57034461482024,2.85714285714286
"106","effexor-xr","anxiety/ ocpd /depression",7,5,8,10,8,6,6.66666666666667
"107","ultram-er","pain relief  from an infected cat bite wound",1,3.75,10,3.64974679448213,2,6.66666666666667,4.44444444444444
"108","lotrel","high blood pressure",7,3.33333333333333,4,2.5,8,7.5,5
"109","viagra","erectile disfunction",4,10,6,3.33333333333333,2,4.57034461482024,5
"110","seasonale","birth control",9,10,8,4,10,10,6.25
"111","wellbutrin-sr","depression",5,2,6,3.33333333333333,6,4.57034461482024,2.85714285714286
"112","lipitor","cholesterol slightly elevated",1,6.25,4,0,2,0,5.55555555555556
"113","allegra","hay fever, allergies",8,5.70026541741457,10,3.64974679448213,8,3.33333333333333,3.33333333333333
"114","ambien-cr","insomnia",7,5.70026541741457,6,3.33333333333333,10,0,2.5
"115","accutane","acne",8,5,4,5.71428571428571,10,10,5.83333333333333
"116","nasonex","congestion",10,10,10,10,10,10,10
"117","fortaz","uti",8,8,6,0,10,10,8.33333333333333
"118","singulair","asthma",1,4,4,0,2,5,3.75
"119","xyrem","insomnia",9,5,6,0,10,0,2
"120","provigil","fatigue not being able to get up in am",7,5.70026541741457,8,10,6,3.33333333333333,5
"121","xanax","tia's - anxiety",10,10,10,3.64974679448213,10,6.66666666666667,7.5
"122","lexapro","major depression/anxiety",9,4.28571428571429,8,3.75,10,3.84615384615385,3.84615384615385
"123","vicodin","periodontal surgery",7,0,8,0,8,0,0
"124","zoloft","depression",6,3.33333333333333,10,10,6,5,5
"125","differin","acne",9,10,8,2.5,10,10,5
"126","zyban","smoking",9,10,4,4.28571428571429,10,0,3.88888888888889
"127","anafranil","ocd",4,3.33333333333333,6,5,10,1.66666666666667,2.72727272727273
"128","nuvaring","birth control",10,5,8,10,10,10,8
"129","motrin","menstrual cramping",8,7.14285714285714,8,5,8,7.5,6.15384615384615
"130","effexor","generalized anxiety disorder",8,10,6,6.66666666666667,8,5.71428571428571,6.36363636363636
"131","serzone","generalized anxiety disorder",8,0,10,0,10,6.66666666666667,6.66666666666667
"132","naprosyn","ankylosing spondylitis",8,5.70026541741457,10,3.64974679448213,8,0,0
"133","flomax","kidney pain, difficult urination",8,5,6,0,8,4,3.125
"134","percocet","shoulder pain",7,10,6,0,8,1.66666666666667,2.5
"135","propecia","hair loss",8,5.70026541741457,10,3.64974679448213,6,0,0
"136","protonix","acid reflux",9,5.70026541741457,10,0,10,4,3.33333333333333
"137","mirapex","restless leg syndrome",10,5.70026541741457,8,0,10,2.5,2
"138","dexamethasone","bronchial infection",3,2.5,10,0,4,0,2.5
"139","renova","acne",7,5.70026541741457,6,0,6,4.57034461482024,0
"140","toradol","for  back pain",1,4,2,0,2,10,4.28571428571429
"141","caduet","cholesterol/high blood pressure",3,6,4,4.16666666666667,8,0,4.375
"142","diazepam","stress",10,5.70026541741457,10,0,10,4,3.33333333333333
"143","celebrex","arthritis",8,5.70026541741457,10,3.64974679448213,8,6,6
"144","accutane","severe acne",10,3.75,8,5,10,4.57034461482024,4
"145","zoloft","depression",9,0,8,0,10,4.57034461482024,0
"146","prevacid","acid reflux",7,10,4,4.28571428571429,8,4.28571428571429,4.16666666666667
"147","actiq","chronic pain",1,5.41666666666667,4,3.33333333333333,10,5,5
"148","doxycycline","epididymitus",4,5.70026541741457,4,0,6,0,0
"149","meridia","weight loss",10,5,8,5,10,5,5
"150","mobic","back pain",1,1.66666666666667,10,0,2,10,2.5
"151","provigil","excessive fatigue",10,5.70026541741457,10,0,10,6,5
"152","ortho-tri-cyclen","birth control method",10,5,8,10,10,6.66666666666667,6.25
"153","tegretol","epilepsy",5,10,6,5,10,10,7.14285714285714
"154","zestoretic","high blood pressure",10,10,10,3.64974679448213,10,6.66666666666667,7.14285714285714
"155","malarone","malaria prevention",9,10,6,5,10,5,5.71428571428571
"156","synthroid","low under active thyroid",10,8.75,10,5,10,0,6.92307692307692
"157","zofran","nausea/vomiting",9,5.26315789473684,8,3.64974679448213,10,3.33333333333333,5.5
"158","elavil","fibromyalgia",8,5,6,5.55555555555556,10,0,4.61538461538462
"159","tazorac","hyperpigmentation, photoaging, mild hormonal acne",8,10,6,5,10,6,5.625
"160","topamax","tourette syndrome",10,5.70026541741457,4,5,4,3.33333333333333,4.28571428571429
"161","lunesta","insomina",1,0,4,4.28571428571429,2,4.57034461482024,3.33333333333333
"162","oracea","rosacea",4,0,4,0,8,4.57034461482024,0
"163","spiriva","asthma",9,5.70026541741457,10,5,10,5,4
"164","prozac","depression",3,2.5,4,2,4,4.57034461482024,2.5
"165","enbrel","ankylosing spondylitis",9,5.70026541741457,8,0,10,5,2.85714285714286
"166","atarax","anxiety",1,5,8,0,2,4.57034461482024,3.33333333333333
"167","pilocarpine","high intraocular pressure (glaucoma)",3,4,4,0,8,6.66666666666667,4
"168","allegra","severe allergies",10,0,10,3.64974679448213,10,10,5
"169","retin-a","acne",6,10,6,5,8,5,5.71428571428571
"170","phenergan","nausea",9,0,6,2.5,10,5,3.33333333333333
"171","enalapril","high blood pressure",6,8,10,3.64974679448213,6,0,5.71428571428571
"172","lamictal","bipolar disorder",10,5,10,3.64974679448213,10,10,7.5
"173","glucophage","diabetes",7,6.66666666666667,6,0,6,5,3.33333333333333
"174","evista","slight loss of calcium in hip area",9,10,8,0,8,5,5
"175","paxil","depression",6,6.66666666666667,4,4.70588235294118,8,2.5,4.58333333333333
"176","lopressor","high blood pressure",8,5.70026541741457,8,0,10,0,0
"177","claritin","eczema",9,10,10,0,8,5,5.55555555555556
"178","vivelle-dot","menopausal symptoms",10,0,10,3.64974679448213,10,5,1.66666666666667
"179","levoxyl","hypothyroidism",8,5,8,3.64974679448213,10,4.57034461482024,5
"180","renova","cystic acne on chin and jaw",10,5.70026541741457,8,10,10,10,10
"181","flexeril","muscle spasms",5,5,6,8.33333333333333,6,5,7
"182","cymbalta","chronic tension headaches/ mild depression",8,3.33333333333333,8,4,8,5,4.61538461538462
"183","allegra","allergies",6,5,8,3.64974679448213,8,2.5,3.33333333333333
"184","effexor-xr","depression",5,6.66666666666667,8,5,6,5,5.55555555555556
"185","zyban","stop smoking",4,5.70026541741457,4,0,6,4.57034461482024,0
"186","seroquel-xr","bipolar 2",9,5,8,5,8,0,5
"187","topamax","migraines",3,5.71428571428571,6,0,8,0,3.33333333333333
"188","tazorac","acne/anti-agin",9,4,6,2.5,10,5,4
"189","biaxin","severe sinus infection",10,6.66666666666667,8,0,10,0,5
"190","abilify","depression not resolved with antidepressant drugs",2,3.33333333333333,2,5,8,0,4.28571428571429
"191","nasonex","sinusitis",8,5,10,3.64974679448213,8,6.66666666666667,5
"192","augmentin","sinus infection",7,0,10,10,6,2.5,4
"193","crestor","high cholesterol",1,5,4,3.33333333333333,2,4.57034461482024,4.44444444444444
"194","finacea","acne",8,5.70026541741457,10,0,8,5,3.33333333333333
"195","lamictal","seizure disorder",10,6.66666666666667,10,3.64974679448213,10,10,7
"196","doxycycline","pneumonia",10,5.70026541741457,8,5.71428571428571,10,6.66666666666667,6
"197","flexeril","inflamed neck muscles",8,5,8,3.64974679448213,8,0,4
"198","alprazolam","panic disorder, agoraphobia",10,4.54545454545454,8,0,10,0,4.41176470588235
"199","lexapro","depression",1,5.70026541741457,4,3.64974679448213,6,0,0
"200","celexa","depression and anxiety",3,3.75,6,0,8,4.57034461482024,2.72727272727273
"201","saizen","adrenal burnout, chronic fatigue & premature agin",8,5.70026541741457,10,10,8,8,8.33333333333333
"202","clonazepam","hyperactive nerves and chronic small seizures",9,4,10,3.64974679448213,8,10,5.71428571428571
"203","propecia","hair loss",10,10,8,10,8,6.66666666666667,7.5
"204","vivelle","total hist",6,3.33333333333333,4,3.33333333333333,6,4.57034461482024,3.33333333333333
"205","zoloft","depression",8,0,8,5,8,0,1.66666666666667
"206","lexapro","depression/anxiety",7,5,6,3.64974679448213,8,0,3.75
"207","retin-a","melasma, unevean skin tone, ocasionally pimples",8,5.70026541741457,6,10,8,4.57034461482024,10
"208","lexapro","depression",7,3.33333333333333,8,6.25,6,5,5.23809523809524
"209","keflex","pre-surgery",4,5.70026541741457,6,3.64974679448213,8,5,5
"210","biaxin","major sinus infection",8,0,6,0,10,5,3.33333333333333
"211","tequin","uti",1,5,10,3.64974679448213,2,5,5
"212","zomig","migraine",10,5,8,5,10,0,4.28571428571429
"213","paxil","depression",1,6,4,1.42857142857143,6,10,4.16666666666667
"214","vagifem","postmenopausal vaginal atrophy",8,5.70026541741457,8,3.64974679448213,8,2,2
"215","citalopram","depression",8,10,6,6,10,4,5.45454545454545
"216","benzaclin","acne",8,5.70026541741457,8,3.64974679448213,10,4.57034461482024,4.78977874926387
"217","ortho-tri-cyclen","regulate periods",5,7.5,4,4.28571428571429,8,5,5
"218","levoxyl","hypothyroidism",8,6.25,8,10,8,3.33333333333333,5.83333333333333
"219","citalopram","depression",10,5,8,0,10,10,5
"220","renova","aging",2,5.70026541741457,4,0,4,4.57034461482024,0
"221","prilosec","heartburn",6,5,6,0,10,5,4.44444444444444
"222","levitra","erectile dysfunction",8,5.70026541741457,10,3.64974679448213,6,10,10
"223","neurontin","perepheral neuropathy",4,10,6,5.55555555555556,6,2.85714285714286,5
"224","lyrica","fibromyalgia",1,5.70026541741457,2,2.5,2,4.57034461482024,2.5
"225","elavil","insomnia - early awakening",8,4,6,10,10,10,5.71428571428571
"226","aloprim","gout",8,6,6,0,10,1.42857142857143,3.63636363636364
"227","citalopram","depression",1,5.70026541741457,6,5,2,4.57034461482024,5
"228","metrogel","rosacea",4,6.66666666666667,6,3.64974679448213,6,4.57034461482024,6.66666666666667
"229","wellbutrin-xl","depression",7,10,8,5,6,8.57142857142857,7.27272727272727
"230","zyprexa","agitation management r/t lewy body syndrome  demen",3,0,4,0,8,4.57034461482024,0
"231","methotrexate","rhematory arthritis",7,5.70026541741457,6,0,8,3.33333333333333,1.66666666666667
"232","chantix","smoking cessation",9,3.33333333333333,8,0,10,0,1.66666666666667
"233","prempro","menopause",10,5.70026541741457,8,3.64974679448213,10,0,0
"234","provigil","anxiety and to avoid feeling misrable",4,2,6,3.64974679448213,6,4.57034461482024,2
"235","wellbutrin-xl","depression",9,3.33333333333333,8,4,8,6.66666666666667,4.61538461538462
"236","mobic","arthritis/knee pain",6,4,8,5,2,5,4.44444444444444
"237","lamisil","fungal growth on feet",10,10,10,3.64974679448213,10,5,8.57142857142857
"238","abilify","depression",6,4,10,3.64974679448213,8,4.57034461482024,4
"239","ultracet","herniated disk in my lower back",5,0,6,2.5,8,0,2
"240","valtrex","cold sores",7,5.55555555555556,8,0,6,0,5
"241","wellbutrin-sr","depression",10,7.14285714285714,10,0,10,6,6.25
"242","retin-a","acne",3,5,4,3.33333333333333,2,6.66666666666667,4.54545454545454
"243","neurontin","nerve damage",6,5.70026541741457,6,5,6,4,4
"244","lorazepam","panic attacks",9,5,6,0,10,0,2.5
"245","vivelle-dot","hysterectomy",9,6.66666666666667,10,3.33333333333333,10,5,6.66666666666667
"246","lexapro","depression, lack of motivation",4,8,6,8,6,6.66666666666667,7.33333333333333
"247","wellbutrin","anxiety/ mild depression",9,5,8,0,8,10,6.25
"248","relafen","sciatica",5,6.15384615384615,6,0,4,5,6.11111111111111
"249","valium","anxiety",6,6.66666666666667,8,3.64974679448213,8,5,6
"250","yasmin","birth control",10,5.70026541741457,10,3.64974679448213,10,5,5
"251","klonopin","tia type seizures, stress",1,4.16666666666667,6,5,2,0,4.16666666666667
"252","tri-luma","dark skin spots on face",2,5.70026541741457,8,5,4,6.66666666666667,6
"253","provigil","fatigue",7,5.70026541741457,10,0,8,5.71428571428571,5
"254","mirapex","restless legs syndrome",10,10,10,0,10,7.5,4.54545454545454
"255","vyvanse","add",10,10,8,3.64974679448213,10,4.57034461482024,10
"256","provera","irregular menses",9,2.5,8,3.33333333333333,8,6.66666666666667,4.44444444444444
"257","adipex-p","weightloss",9,8.33333333333333,8,0,8,4,5
"258","provigil","shift work insomnia",1,10,2,10,2,0,5
"259","zoloft","depression",9,5,10,0,8,0,5
"260","seroquel","bipolar",8,5.70026541741457,8,6.66666666666667,8,10,8.33333333333333
"261","aldara","scar revision surgery",6,5,6,0,6,6,5.71428571428571
"262","xenical","weight loss",6,8,8,5,4,3.33333333333333,6.25
"263","baclofen","insomnia",8,6,8,3.64974679448213,8,4.57034461482024,6
"264","spironolactone","acne",5,10,2,5.71428571428571,6,4.57034461482024,6.25
"265","wellbutrin","depression",7,0,6,0,10,0,0
"266","crestor","high cholesterol and triglycerides (21.1!)",2,0,4,3.33333333333333,8,4.57034461482024,2.85714285714286
"267","clindamycin-topical","acne",9,10,10,3.64974679448213,8,0,5
"268","chantix","smoking cessation",10,1.66666666666667,8,10,10,0,2.22222222222222
"269","depo-provera","contraception",1,5,2,4,10,5,4.58333333333333
"270","flexeril","muscle spasms",7,5,4,0,8,8,5
"271","chantix","smoking",2,0,2,6.66666666666667,8,4.57034461482024,5
"272","metronidazole","tooth abscess",10,5.70026541741457,2,3.64974679448213,10,6.15384615384615,6.15384615384615
"273","dispermox","tonsillitis/strep throat",3,7.5,6,0,8,4.57034461482024,6
"274","ambien","restless sleep",7,5,10,0,10,10,4.28571428571429
"275","zoloft","anxiety disorder",4,5.70026541741457,6,0,6,10,5
"276","depo-provera","hormonal imbalances and pregnancy prevention",9,8.33333333333333,8,7.14285714285714,10,3.33333333333333,6.47058823529412
"277","doxycycline","deep gum pockets",6,5.70026541741457,8,6.66666666666667,6,6,6.25
"278","solodyn","acne",1,5.70026541741457,4,2.5,2,7.5,5
"279","suboxone","opioid addiction",10,5,8,1.25,10,2.5,2
"280","effexor-xr","clinical depression",2,2.5,4,0,2,10,2.30769230769231
"281","zmax","lingering infection - ear, sinus, throat",10,4.54545454545454,10,6.66666666666667,10,0,4.66666666666667
"282","renova","acne",10,10,10,3.64974679448213,10,10,10
"283","metformin","metabolic syndrome x",9,8.33333333333333,8,6.66666666666667,8,0,6.66666666666667
"284","prinivil","diabetes",4,6.66666666666667,6,5,4,10,6.66666666666667
"285","neurontin","neuropathy back pain",1,5,4,2.22222222222222,2,4.57034461482024,3.88888888888889
"286","valium","anxiety",9,5,10,0,8,5,4.28571428571429
"287","vyvanse","add",7,10,6,3.33333333333333,10,3.75,4.21052631578947
"288","paxil-cr","obsessive compulsive disorder",9,5.29411764705882,8,3.33333333333333,10,5,5
"289","ativan","sleep problem",2,7.5,4,3.33333333333333,6,0,3.84615384615385
"290","effexor-xr","depression",9,3.75,8,5,8,2.5,3.84615384615385
"291","prempro","hot flashes",9,10,10,3.64974679448213,8,10,10
"292","darvocet-n","pain after surgery",8,3.33333333333333,6,0,8,0,2
"293","ranitidine","rash",5,2,10,10,4,10,4.28571428571429
"294","prevacid","pre-barrett (errosion of the esophagus)",8,10,8,8,8,4.28571428571429,6.15384615384615
"295","amoxil","infection from grazing an ankle on coral",10,6.25,8,0,6,4,5.18518518518519
"296","septra","mrsa skin infection",8,5,8,10,8,5,5.55555555555556
"297","tamiflu","swine flu",10,10,8,0,10,6.66666666666667,6.25
"298","risperdal","psychosis",1,10,4,0,2,4.57034461482024,3.33333333333333
"299","soltamox","breast cancer",5,7.5,6,7.5,10,0,6.66666666666667
"300","celebrex","arthritis pain",10,0,8,3.64974679448213,10,0,0
"301","lyrica","fibromylgia",8,5.55555555555556,4,0,10,10,4.54545454545454
"302","seroquel","insomnia",8,7.5,8,3.64974679448213,8,5,6.66666666666667
"303","zyprexa","schizophrenia",3,0,6,4,4,10,4.28571428571429
"304","yasmin","contraception",7,10,6,6.66666666666667,10,5,7.14285714285714
"305","lexapro","depression/anxiety",8,6.66666666666667,8,5,8,6.66666666666667,5.83333333333333
"306","celebrex","arthritis",1,3.33333333333333,2,2.5,8,5,4.44444444444444
"307","levaquin","acute sinusitis/bronchitis",1,5.70026541741457,2,2.5,10,6.66666666666667,4.28571428571429
"308","xyzal","allergies",4,10,4,0,4,4.57034461482024,3.33333333333333
"309","cleocin","acne",8,10,6,10,8,10,10
"310","claripel-cream","pigmentation",8,3.33333333333333,8,0,8,0,2
"311","effexor","depression",7,0,6,0,6,3.33333333333333,2
"312","lyrica","fibromyalgia",8,5.70026541741457,8,3.64974679448213,8,6.66666666666667,6.66666666666667
"313","cymbalta","sever depression",9,0,10,6.66666666666667,10,2.5,3.63636363636364
"314","imitrex","migraine",10,3.33333333333333,8,0,10,3.33333333333333,3.33333333333333
"315","voltaren","osteo arthritis",10,5.70026541741457,10,10,10,0,2.5
"316","tetracycline","razor bumps",10,10,10,3.64974679448213,10,4.57034461482024,10
"317","valtrex","genital herpes",10,5.70026541741457,10,10,10,6,6
"318","zovirax","fever blisters",8,5.70026541741457,10,3.64974679448213,8,4.57034461482024,4.78977874926387
"319","cipro","urinary tract infection",10,0,10,10,10,10,8
"320","protonix","acid reflux",10,0,10,3.64974679448213,10,0,0
"321","retin-a","acne",9,0,8,10,8,10,7.5
"322","relpax","migraine headaches",10,6.66666666666667,10,0,10,2.5,4.28571428571429
"323","follistim","infertility",10,5,8,5,10,4.57034461482024,5
"324","effexor","depression",7,5.70026541741457,6,6.66666666666667,8,5,6.25
"325","lortab","pain",9,0,8,2.85714285714286,10,5,3.75
"326","climara","hot flash sleep problems",8,5.71428571428571,10,6,10,3.75,5.29411764705882
"327","requip","restless leg syndrome",10,10,8,10,10,6.66666666666667,8
"328","accutane","acne",4,5,10,3.64974679448213,8,5,5
"329","percocet","chronic back pain",5,3.33333333333333,4,0,10,3.33333333333333,2.85714285714286
"330","celexa","depression, irritability",8,5.70026541741457,6,5,10,4,3.33333333333333
"331","restasis","dry eyes",10,5.70026541741457,10,3.64974679448213,10,6.66666666666667,6.66666666666667
"332","levoxyl","low thyroid",9,4,10,3.64974679448213,10,4.57034461482024,4
"333","seasonique","birth control",6,10,4,3.33333333333333,10,6.66666666666667,4.61538461538462
"334","oxycodone","post surgery",5,0,6,4.28571428571429,8,5,5
"335","remeron","depression",2,0,4,5,2,0,3.33333333333333
"336","differin","acne",9,10,8,0,8,0,3.33333333333333
"337","effexor","severe depression",2,5,4,2.5,2,4.57034461482024,4.28571428571429
"338","macrobid","uti",1,5.70026541741457,2,2.5,8,4.57034461482024,2.5
"339","buprenorphine","major depression",10,10,10,3.64974679448213,10,6.07142857142857,6.20689655172414
"340","fiorinal","tension headaches",5,6.66666666666667,10,3.64974679448213,6,5,6
"341","doxycycline","acne",4,7.5,8,2.5,4,10,6.36363636363636
"342","propecia","hair loss",9,0,8,3.64974679448213,8,0,0
"343","trazodone","depression/difficulty sleeping",10,5.70026541741457,8,10,8,4.57034461482024,10
"344","zomig","persistant migraines",9,8.33333333333333,8,6.66666666666667,10,4.57034461482024,7.5
"345","climara","menopause, memory loss, night sweats, low libido",4,0,4,5,4,10,5
"346","ortho-tri-cyclen","pregnancy prevention",9,5.70026541741457,8,0,10,5,4.44444444444444
"347","synthroid","hypothyroidism",8,6,10,3.64974679448213,6,4.57034461482024,6
"348","elavil","depression/insomnia",7,0,6,6.25,8,5,6.36363636363636
"349","xalatan","glaucoma",8,5,8,3.64974679448213,8,0,4
"350","motrin","prostatitis (chronically)",7,3.33333333333333,8,10,8,6.66666666666667,6.42857142857143
"351","citalopram","depression",4,5.70026541741457,6,3.33333333333333,6,3.33333333333333,3.84615384615385
"352","prozac","depression",7,5.70026541741457,6,0,8,3.33333333333333,2.5
